,TB,,,,,,,Malaria (p.falc),,,,,,,,,,,,,,,Malaria (p.vivax),,,,,,,,Malaria,HIV,,,,,,,,,,,,,RoundWorm,,,Hookworm,,Whipworm,,,Worms,,,,Schistosomiasis,,LF,,,Total,,,TB,,,,,,,Malaria (p.falc),,,,,,,,,,,,,,,,,,,Malaria (p.vivax),,,,,,,Malaria,HIV,,,,,,,,,,,,RoundWorm,,,Hookworm,,Whipworm,,,,,,Worms,Schistomasis,,Onchocerciasis,,LF,,,Total
Country,Impact of Active TB/HIV+ Treatment Regimen,Impact of Active TB/HIV- Treatment Regimen,Impact of MDR-TB Treatment Regimen,,,Impact of XDR-TB Treatment Regimen,Total Impact,Impact of AL,Impact of AS+SP,Impact of DHA-PPQ,Impact of AS+MQ,Impact of AS+AQ,Impact of CQ + PQ,Impact of DHA-PPQ + PQ,Impact of ART + NQ,Impact of ART + PPQ,Impact of AL + PQ,Impact of SP,Impact of AS + MQ + PQ,Impact of QN + CL,Impact of QN + D,Total Impact (p.falc),Impact of CQ+PQ,Impact of CQ,Impact of CQ + PG,Impact of AL,Impact of AL+PQ,Impact of AS + AQ,Impact of DHA-PPQ+PQ,Total Impact (p.vivax),Total Impact,Impact of 3TC,Impact of ABC,Impact of AZT,Impact of ddl,Impact of d4T,Impact of EFV,Impact of FTC,Impact of LPV/r,Impact of NVP,Impact of TDF,Impact of ATV/r,Impact of NFV,Total Impact,Alb,Mbd,Ivm+Alb,Alb,Mbd,Alb,Mbd,Ivm+Alb,Impact of Roundworm,Impact of Hookworm,Impact of Whipworm,Total Impact,PZQ,Total Impact,Impact of Single dose of DEC (6mg/kg)+ALB(400mg),Impact of Combination of ALB(400mg)+IVM(400ug/kg),Total Impact,,,Country,Impact of Active TB/HIV+ Treatment Regimen,Impact of Active TB/HIV- Treatment Regimen,Impact of MDR-TB Treatment Regimen,,,Impact of XDR-TB Treatment Regimen,Total Impact,AL,AL+PQ,AM,ART+NQ,ART+PPQ,AS+AQ,AS+MQ,AS+MQ+PQ,AS+SP,AS+SP+PQ,AT+PG,CQ+PQ,DHA-PPQ,DHA-PPQ+PQ,PQ,QN,QN+CL,QN+D,Total Impact (p.falc),CQ + PQ,CQ,DHA-PPQ,AL,AL + PQ,AS + AQ + PQ,Total Impact (p.vivax),Total Impact,Impact of 3TC,Impact of ABC,Impact of AZT,Impact of ddl,Impact of d4T,Impact of EFV,Impact of FTC,Impact of LPV/r,Impact of NVP,Impact of ATV/r,Impact of TDF,Total Impact,Alb,Mbd,Ivm+Alb,Alb,Mbd,Alb,Mbd,Ivm+Alb,Impact of Roundworm,Impact of Hookworm,Impact of Whipworm,Total Impact,PZQ,Total Impact,Impact of Ivermectin,Total Impact,Impact of Single dose of DEC (6mg/kg)+ALB(400mg),Impact of Combination of ALB(400mg)+IVM(400ug/kg),Total Impact,
Drug,"isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).","isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).",Z+S+Lfx+Eto+Cs+PAS,S+Lfx+Eto+Cs+PAS,Km+Lfx+Eto+Cs+PAS,Cs+ Km(or)Amk(or)Cm+Lfx(or)Mfx(or)Gfx(or)Ofx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drug,"isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).","isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).",Z+S+Lfx+Eto+Cs+PAS,S+Lfx+Eto+Cs+PAS,Km+Lfx+Eto+Cs+PAS,Cs+ Km(or)Amk(or)Cm+Lfx(or)Mfx(or)Gfx(or)Ofx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,"5,533.05","97,155.82",0.00,0.00,0.00,68.16,"102,757.02",0.00,0.00,0.00,0.00,"741,139.76",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"741,139.76",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"741,139.76","2,754.14",36.90,"1,118.51",0.00,"1,249.76","1,148.39",154.53,42.00,"1,712.72",503.50,0.00,0.00,"8,720.45",  1.94 , ,  1.87 ,  7.09 , ,  0.17 , ,  0.36 ,  3.81 ,  7.09 ,  0.53 ,  11.43 ,  885.46 ,  885.46 ,,  58.12 ,  58.12 ,"1,594,712.01",, Liberia,"9,537.58","60,835.41",0.00,0.00,0.00,105.67,"70,478.66",0.00,0.00,0.00,0.00,0.00,"39,583.60",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"39,583.60",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"39,583.60",157.98,4.51,61.82,0.12,0.61,114.84,41.03,15.21,66.74,2.32,136.42,601.61,  41.71 , ,  39.63 ,  175.07 , ,  3.89 , ,  9.26 ,81.35,175.07,13.15,269.57,"  1,685.88 ","1,685.88",,0.00,,  105.22 ,105.22,"112,724.53"
Libya,0.00,0.00,0.00,0.00,0.00,5.70,5.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.79,0.19,9.76,0.00,10.77,9.89,1.35,0.27,14.96,4.43,0.00,0.00,75.41, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,81.11,, Libya,407.65,"2,600.22",0.00,0.00,0.00,0.00,"3,007.87",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.19,0.04,3.79,0.00,0.00,7.88,2.87,0.86,4.16,0.16,9.52,39.47, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,"3,047.34"
Lithuania,"1,778.45","9,103.60",67.58,10.46,243.76,7.74,"11,211.60",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"11,211.62",, Lithuania,652.93,"4,164.74",333.32,19.47,318.02,24.05,"5,512.53",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,"5,512.53"
Luxembourg,15.10,77.31,0.00,0.00,0.00,0.06,92.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.72,0.10,0.24,0.00,0.38,0.22,0.00,0.08,0.41,0.00,0.00,0.00,2.14, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,94.62,, Luxembourg,4.29,27.35,0.00,0.00,0.00,0.05,31.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,,0.00,31.68
Madagascar,372.58,"239,554.37",0.00,0.00,0.00,26.13,"239,953.08",0.00,0.00,0.00,0.00,"160,784.13",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"160,784.13",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"160,784.13",30.39,0.30,12.34,0.00,13.69,13.00,1.82,0.39,18.78,5.88,0.00,0.00,96.60,"  3,711.53 ", ,"  3,537.94 ",  129.29 , ,  339.74 , ,  856.52 ,"  7,249.46 ",  129.29 ,"  1,196.25 ","  8,575.00 ","  1,287.49 ","  1,287.49 ",,  91.44 ,  91.44 ,"571,571.86",, Madagascar,"22,242.95","141,876.61",290.87,82.88,653.85,136.34,"165,283.50",0.00,0.00,0.00,0.00,0.00,"72,636.34",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"72,636.34",416.69,400.19,416.19,194.46,0.00,418.77,"1,846.30","74,482.64",248.39,7.60,98.10,0.20,1.04,178.63,64.18,24.74,105.62,3.76,212.89,945.15,"  30,919.95 ", ,"  23,708.52 ",  247.94 , ,  413.68 , ,"  1,293.35 ","54,628.47",247.94,"1,707.03","56,583.44",  667.61 ,667.61,0.00,0.00,,  88.49 ,88.49,"298,050.82"
Malawi,"148,379.27","134,184.63",26.38,4.08,60.31,37.87,"282,692.54","854,302.72",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"854,302.72",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"854,302.72","64,660.07","1,081.21","26,261.82",0.00,"29,558.16","26,263.87","3,386.39","1,126.24","40,492.16","11,145.28",0.00,0.00,"203,975.21", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,  566.41 ,  566.41 ,,  286.05 ,  286.05 ,"2,196,125.64",, Malawi,"22,305.41","142,275.03",970.27,74.41,937.15,71.06,"166,633.33","192,557.20",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"192,557.20",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"192,557.20","56,656.20","5,958.31","25,994.62",170.90,878.45,"32,696.58","10,431.35","7,126.84","26,852.92",558.84,"35,459.82","202,784.84", , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,"561,975.37"
Malaysia,"4,120.49","61,721.32",11.59,1.79,15.25,43.90,"65,914.34",0.00,0.00,0.00,277.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,277.09,681.17,0.00,0.00,0.00,0.00,0.00,0.00,681.17,958.26,"1,676.41",7.41,689.16,0.00,754.62,707.34,99.51,14.53,"1,052.97",324.73,0.00,0.00,"5,326.69","  2,146.32 ", , ,  763.68 , ,  24.56 , , ,"  2,146.32 ",  763.68 ,  24.56 ,"  2,934.56 ",,  -   ,  -   ,,  -   ,"75,410.94",, Malaysia,"5,177.41","33,024.12",47.54,9.31,89.62,5.25,"38,353.25",0.00,0.00,0.00,0.00,0.00,0.00,196.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,196.49,110.19,0.00,0.00,0.00,0.00,0.00,110.19,306.68,305.10,7.63,120.36,0.19,0.96,221.69,79.42,28.50,130.00,4.49,263.92,"1,162.26","  3,953.86 ", ,"  2,345.09 ","  1,270.28 ", ,  24.17 , ,  56.94 ,"6,298.95","1,270.28",81.11,"7,650.34",,0.00,,0.00,  -   ,  -   ,0.00,"47,472.52"
Maldives,0.00,498.27,0.00,0.00,0.00,0.32,498.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.88,0.00,0.78,0.00,0.84,0.80,0.12,0.01,1.18,0.38,0.00,0.00,5.99, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,504.58,, Maldives,26.67,170.09,0.00,0.00,0.00,0.30,197.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.02,0.00,0.00,0.05,0.02,0.01,0.03,0.00,0.06,0.24, , , , , , , , ,0.00,0.00,0.00,0.00,  -   ,0.00,0.00,0.00,,,0.00,197.30
Mali,"23,445.60","162,610.01",10.59,1.64,24.08,133.02,"186,224.94","721,958.54",0.00,0.00,0.00,"610,586.48",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,332,545.02",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,332,545.02",923.47,17.14,373.65,0.00,422.34,376.41,48.37,17.39,575.43,158.71,0.00,0.00,"2,912.91", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,"  2,500.45 ","  2,500.45 ",,  -   ,  -   ,"2,856,728.34",, Mali,"14,621.68","93,264.37","2,741.72",116.74,"1,483.20",155.66,"112,383.36","328,047.26",0.00,0.00,0.00,0.00,"322,639.19",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"650,686.45",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"650,686.45",624.62,52.48,271.16,1.53,7.80,390.11,130.47,75.46,283.48,7.36,438.69,"2,283.16", , , , , , , , ,0.00,0.00,0.00,0.00,"  1,959.40 ","1,959.40",,0.00,,  299.89 ,299.89,"767,612.26"
Malta,7.16,83.88,0.00,0.00,0.00,0.06,91.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.53,0.07,0.18,0.00,0.28,0.16,0.00,0.06,0.30,0.00,0.00,0.00,1.59, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,92.69,, Malta,2.85,18.21,0.00,0.00,0.00,0.03,21.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,21.09
Marshall Islands,0.00,780.48,0.14,0.02,0.19,0.03,780.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,780.86,, Marshall Islands,13.58,86.64,0.02,0.00,0.04,0.15,100.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,0.01,0.48,0.00,0.00,1.00,0.37,0.11,0.53,0.02,1.21,5.02, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,,0.00,105.46
Mauritania,"3,744.29","32,950.70",9.10,1.41,20.70,24.96,"36,751.16","26,483.19",0.00,0.00,0.00,"21,845.28",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"48,328.46",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"48,328.46",362.77,2.56,148.40,0.00,163.43,153.58,21.49,3.88,226.43,69.87,0.00,0.00,"1,152.39", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,  290.17 ,  290.17 ,,,  -   ,"134,850.65",, Mauritania,"2,723.87","17,374.18",0.00,0.00,0.00,0.00,"20,098.05","3,004.00",0.00,0.00,0.00,0.00,"3,011.49",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"6,015.49",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"6,015.49",174.78,10.37,72.53,0.30,1.51,117.05,40.56,19.38,76.85,2.32,135.48,651.13, , , , , , , , ,0.00,0.00,0.00,0.00,  252.59 ,252.59,,0.00,,,0.00,"27,017.25"
Mauritius,26.80,558.23,0.00,0.00,0.00,0.39,585.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,116.34,0.13,47.88,0.00,52.03,50.07,7.27,0.75,72.77,23.57,0.00,0.00,370.81, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,956.22,, Mauritius,56.58,360.89,0.34,0.17,1.50,0.07,419.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.61,0.03,2.46,0.00,0.00,5.10,1.86,0.56,2.70,0.10,6.17,25.60, , , , , , , , ,0.00,0.00,0.00,0.00,  37.93 ,37.93,,0.00,,,0.00,483.08
Mexico,"20,442.28","138,135.46",77.46,11.99,129.21,29.80,"158,826.21",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.27,0.00,0.00,0.00,0.00,0.00,0.00,3.27,3.27,"4,102.19",100.06,"3,302.09",9.70,198.42,"2,797.84",287.90,474.12,672.43,799.22,449.64,5.76,"13,199.39", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"172,028.86",, Mexico,"10,233.11","65,271.87","2,006.59",53.37,542.01,93.29,"78,200.25",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.16,0.00,0.00,0.00,0.00,0.00,3.16,3.16,"5,098.53",167.67,"2,031.45",4.31,22.25,"3,653.45","1,283.29",476.38,"2,186.68",69.02,"4,290.58","19,283.62", , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,"97,487.03"
Micronesia (Federated States of),0.00,"1,035.19",0.19,0.03,0.32,0.13,"1,035.86",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,  0.02 ,,  0.02 ,"1,035.87",, Micronesia (Federated States of),18.48,117.88,0.00,0.00,0.00,0.00,136.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,  0.46 ,  0.22 ,0.68,137.04
Monaco,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,0.00,, Monaco,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,0.00
Mongolia,9.73,"31,629.29",39.93,6.18,70.43,9.94,"31,765.51",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.19,0.00,4.62,0.00,5.01,4.79,0.69,0.06,7.04,2.25,0.00,0.00,35.66, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"31,801.17",, Mongolia,"1,916.56","12,224.77",222.51,13.40,130.52,13.14,"14,520.89",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.76,0.00,0.28,0.00,0.00,0.59,0.21,0.06,0.31,0.01,0.71,2.93, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,"14,523.82"
Montenegro,2.55,324.21,0.00,0.00,0.00,0.21,326.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.04,0.10,0.00,0.16,0.09,0.00,0.03,0.17,0.00,0.00,0.00,0.90, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,327.88,, Montenegro,15.35,97.92,0.00,0.00,0.00,0.17,113.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,113.45
Montserrat,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,0.00,, Montserrat,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,0.00
Morocco,"13,751.55","244,892.44",23.67,3.67,35.96,97.22,"258,804.51",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,481.34,3.90,196.73,0.00,217.26,202.81,28.13,5.49,300.60,91.59,0.00,0.00,"1,527.85", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"260,332.35",, Morocco,"11,941.58","76,169.37","3,145.13",77.13,758.42,142.72,"92,234.35",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,264.68,15.12,112.81,0.41,2.11,174.54,60.19,27.98,119.34,3.36,201.37,981.92, , , , , , , , ,0.00,0.00,0.00,0.00,  41.64 ,41.64,0.00,0.00,,,0.00,"93,257.90"
Mozambique,"269,763.20","268,219.93",26.53,4.11,55.25,174.47,"538,243.47","1,898,361.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,898,361.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,898,361.00","90,335.19","1,592.50","36,545.91",0.00,"41,237.47","37,089.98","4,825.16","1,646.07","56,182.58","15,784.46",0.00,0.00,"285,239.32","  15,492.13 ", ,"  10,813.12 ",  215.59 , ,  151.19 , ,  351.51 ,"  26,305.25 ",  215.59 ,  502.70 ,"  27,023.53 ",  299.53 ,  299.53 ,,  167.56 ,  167.56 ,"4,647,695.41",, Mozambique,"50,159.52","319,942.45","7,918.62",501.92,"5,717.22",506.89,"384,746.62","399,309.01",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"399,309.01",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"399,309.01","174,711.67","21,562.33","82,863.26",623.42,"3,202.53","94,559.13","29,259.12","23,538.03","84,823.09","1,589.08","99,916.37","616,648.05",  357.29 , ,  332.80 ,"  1,155.46 ", ,  664.74 , ,"  1,805.90 ",690.09,"1,155.46","2,470.64","4,316.19",  387.24 ,387.24,,0.00,,  160.79 ,160.79,"1,405,567.91"
Myanmar,"196,836.66","947,951.89",51.91,8.04,114.69,805.94,"1,145,769.12","13,714.72",0.00,"14,093.59","14,093.59",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"41,901.91","18,783.38",0.00,0.00,0.00,0.00,0.00,0.00,"18,783.38","60,685.29","8,491.01",99.22,"3,450.64",0.00,"3,847.44","3,563.43",486.20,119.10,"5,279.54","1,579.92",0.00,0.00,"26,916.49", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,  232.85 ,,  232.85 ,"1,275,505.65",, Myanmar,"77,051.95","491,475.77","24,774.05","1,625.30","19,780.58","1,655.71","616,363.37","10,170.47",0.00,"9,018.93",0.00,0.00,0.00,"10,292.91",0.00,0.00,0.00,0.00,0.00,"9,878.50",0.00,"8,273.23",0.00,0.00,0.00,"47,634.04","25,945.40",0.00,0.00,0.00,0.00,0.00,"25,945.40","73,579.44","5,782.99",118.42,"2,232.46",2.82,14.54,"4,291.80","1,533.90",519.68,"2,423.63",84.22,"5,107.56","22,112.01", , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,  89.60 ,89.60,"712,144.41"
Namibia,"18,604.46","23,439.42",40.10,6.21,85.88,19.74,"42,195.80","6,231.42",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"6,231.42",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"6,231.42","11,112.94",184.33,"4,532.85",0.00,"5,111.34","4,401.96",552.47,188.96,"7,045.76","1,836.89",0.00,0.00,"34,967.50", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,  26.57 ,  26.57 ,,,  -   ,"89,652.71",, Namibia,"6,336.12","40,414.93",0.00,0.00,0.00,0.00,"46,751.05","2,849.01",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,849.01",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,849.01","7,435.70",632.23,"3,355.43",17.57,90.77,"4,500.16","1,475.32",851.65,"3,496.19",78.20,"4,994.04","26,927.25", , , , , , , , ,0.00,0.00,0.00,0.00,  77.26 ,77.26,,0.00,,,0.00,"76,604.56"
